City	State	District-County Code	ZipCode	Long	Lowest Grade	School Code	phone	District name	AddressLine2	AddressLine1	Lat	Principal Name	ESD Name	School Type	Highest Grade	School name	ESD Code
Bainbridge Island	Washington	18303	98110-1385	-122.5221188	PK	3043	206.780.3020	Bainbridge Island School District		12781 Madison Ave NE	47.6783385	Sheryl Belt	Puget Sound Educational Service District 121	Public School	4	Capt. Charles Wilkes Elem School	17801
Battle Ground	Washington	6119	98604-0200	-122.442605	5	2671	360.885.6050	Battle Ground School District		PO Box 200	45.9134338	SHAYLA EBNER	Educational Service District 112	Public School	8	Amboy Middle School	6801
BATTLE GROUND	Washington	6119	98604-0200	-87.7597791	3	1836	360.885.6801	Battle Ground School District		PO Box 200	41.8730876	COLLEEN O'NEAL	Educational Service District 112	Public School	12	CAM Academy	6801
Battle Ground	Washington	6119	98604	-122.5602675	PK	5090	360.885.6950	Battle Ground School District		PO Box 200	45.7946588	Jill Dutchess	Educational Service District 112	Public School	4	Daybreak Primary	6801
Vancouver	Washington	6119	98662-0000	-122.5719595	K 	3018	360.885.5250	Battle Ground School District		9716 NE 134th St	45.7190199	David Kennedy	Educational Service District 112	Public School	4	Glenwood Heights Primary	6801
YACOLT	Washington	6119	98675-0000	-122.4112076	K 	2910	360.885.6000	Battle Ground School District		406 W YACOLT RD	45.8673355	Ken Evans	Educational Service District 112	Public School	4	Yacolt Primary	6801
Bellevue	Washington	17405	98008-2006	-122.1176268	K 	3633	425.456.4700	Bellevue School District		16616 NE 32nd St.	47.6395112	Heather Sanchez	Puget Sound Educational Service District 121	Public School	5	Ardmore Elementary School	17801
Bellevue	Washington	17405	98007	-122.1410957	6	5240	425-456-7800	Bellevue School District		14844 SE 22nd Street	47.5920538	Bethany Spinler	Puget Sound Educational Service District 121	Public School	12	Bellevue Big Picture School	17801
Bellevue	Washington	17405	98004-6600	-122.198449	9	2701	425.456.7000	Bellevue School District		10416 Wolverine Way	47.604238	Scott Powers	Puget Sound Educational Service District 121	Public School	12	Bellevue High School	17801
Bellevue	Washington	17405	98008-3242	-122.1017864	K 	3705	425.456.4800	Bellevue School District		17900 NE 16th Street	47.6245632	Nicole Hepworth	Puget Sound Educational Service District 121	Public School	5	Bennett Elementary School	17801
Bellevue	Washington	17405	98005-3181	-122.1717577	9	1832	425.456.4226	Bellevue School District		12111 NE 1st Street	47.6150436	ESTELLE COLLINS	Puget Sound Educational Service District 121	Public School	12	Bsd Voc Ed/Career Educ Options	17801
Bellevue	Washington	17405	98009-9010	-79.9672697	PK	5281	425.456.4200	Bellevue School District		P.O. Box 90010	39.6463844	Glenn Hasslinger	Puget Sound Educational Service District 121	Public School	13	Central Educational Services	17801
Bellevue	Washington	17405	98005	-122.173994	K 	3742	425.456.4900	Bellevue School District		12400 N.E. 32nd St.	47.640569	Paula McPhee	Puget Sound Educational Service District 121	Public School	5	Cherry Crest Elementary School	17801
Bellingham	Washington	37501	98225-3648	-122.4742389	9	2553	360.676.6575	Bellingham School District		2020 Cornwall Ave	48.7566896	Jeff Vaughn	Northwest Educational Service District 189	Public School	12	Bellingham High School	29801
Bellingham	Washington	37501	98226-2698	-122.4639275	PK	2387	360.676.6446	Bellingham School District		2800 James St	48.7675748	Mary Anne Stuckart	Northwest Educational Service District 189	Public School	5	Sunnyland Elementary School	29801
Bellingham	Washington	37501	98225-3118	-122.4525404	6	1799	(360) 676-2787	Bellingham School District		1306 Dupont St	48.76824	Kennett Robinson	Northwest Educational Service District 189	Public School	12	Visions (Seamar Youth Center)	29801
Bellingham	Washington	37501	98229-8812	-122.4424774	PK	5125	360.647.6840	Bellingham School District		2155 Yew Street Rd	48.7174829	Analisa Ficklin	Northwest Educational Service District 189	Public School	5	Wade King Elementary School	29801
Bellingham	Washington	37501	98225-3243	-122.4801082	6	2075	360.676.6460	Bellingham School District		810 Halleck St	48.7589891	Jeffrey Coulter	Northwest Educational Service District 189	Public School	8	Whatcom Middle School	29801
Benge	Washington	1122	99105-0697	-118.049189	K 	3142	(509) 887-2370	Benge School District		2978 E. Benge-Winona Rd.	46.9148929	Mary Ault	Educational Service District 101	Public School	6	Benge Elementary	32801
Spanaway	Washington	27403	98387	-122.4252572	K 	5216	253 683 6000	Bethel School District		516 176th St E	47.0969957	Roger Samples	Puget Sound Educational Service District 121	Public School	6	Bethel Elementary Learning Academy	17801
Spanaway	Washington	27403	98387	-122.3774068	10	2807	253.683.7000	Bethel School District		22215 38th Ave E	47.056322	Clifford Anderson	Puget Sound Educational Service District 121	Public School	12	Bethel High School	17801
Spanaway	Washington	27403	98387-6827	-122.3782282	7	3250	253.683.7200	Bethel School District		22201 38th Avenue East	47.0582383	Jeff Gutfield	Puget Sound Educational Service District 121	Public School	8	Bethel Middle School	17801
Spanaway	Washington	27403	98387	-122.430516	7	5174	253.683.6092	Bethel School District		516 176th St E	47.092442	Michael Christianson	Puget Sound Educational Service District 121	Public School	12	Bethel Online Academy	17801
Bridgeport	Washington	9075	98813-1060	-119.6732951	9	1900	509.686.8770	Bridgeport School District		P.O. BOX 1060	48.0054253	Tamra Jacskon	North Central Educational Service District 171	Public School	12	Bridgeport Aurora High School	4801
BRIDGEPORT	Washington	9075	98813-0000	-119.6750531	9	2788	509.686.8770	Bridgeport School District		BOX 1060	48.0073665	Tamra Jackson	North Central Educational Service District 171	Public School	12	Bridgeport High School	4801
BURLINGTON	Washington	29100	98233-0000	136.8151629	PK	1650	360.757.3311	Burlington-Edison School District		927 E FAIRHAVEN AVE	35.3247115	Jeff Brown	Northwest Educational Service District 189	Public School	PK	BECC	29801
BURLINGTON	Washington	29100	98233-1199	-122.337141	9	2362	360.757.4074	Burlington-Edison School District		301 N BURLINGTON BLVD	48.478369	Beth VanderVeen	Northwest Educational Service District 189	Public School	12	Burlington Edison High School	29801
Burlington	Washington	29100	98233-2298	-122.337141	9	1928	(360) 757-3311	Burlington-Edison School District		301 N Burlington Blvd	48.478369	Beth VanderVeen	Northwest Educational Service District 189	Public School	12	Burlington-Edison Alternative School	29801
EDISON	Washington	29100	98232-9244	-122.4386138	K 	2379	360.757.3375	Burlington-Edison School District		5801 MAIN ST	48.5616177	Mike Curl	Northwest Educational Service District 189	Public School	8	Edison Elementary	29801
BURLINGTON	Washington	29100	98233-2499	-122.3183956	K 	3251	360.757.3366	Burlington-Edison School District		820 S SKAGIT ST	48.4692219	Bryan Jones	Northwest Educational Service District 189	Public School	8	Lucille Umbarger Elementary	29801
BURLINGTON	Washington	29100	98233-1028	-122.3415492	K 	2946	360.757.3391	Burlington-Edison School District		515 W VICTORIA AVE	48.4770509	Chris Pearson	Northwest Educational Service District 189	Public School	6	West View Elementary	29801
Camas	Washington	6117	98607-7296	-122.3982711	9	4567	360.833.5750	Camas School District		26900 SE 15TH ST	45.6120756	Steven Marshall	Educational Service District 112	Public School	12	Camas High School	6801
Centralia	Washington	21401	98531-1429	-122.9827002	7	3240	360.330.7619	Centralia School District		901 Johnson Road	46.7260859	Greg Domingos	Educational Service District 113	Public School	8	Centralia Middle School	34801
Centralia	Washington	21401	98531-4623	-122.959717	K 	2244	(360) 330-7631	Centralia School District		607 H Street	46.721953	C. Kirby	Educational Service District 113	Public School	3	Edison Elementary	34801
Centralia	Washington	21401	98531-4533	-122.9863239	K 	2704	(360)330-7633	Centralia School District		1620 Harrison Avenue	46.7352821	David Roberts	Educational Service District 113	Public School	3	Fords Prairie Elementary	34801
Centralia	Washington	21401	98531-2324	-122.963196	K 	3172	(360) 330-7636	Centralia School District		400 West Summa	46.705678	Glenn Spinnie	Educational Service District 113	Public School	3	Jefferson Lincoln Elementary	34801
Centralia	Washington	21401	98531-3498	-122.9509648	4	2291	360.330.7638	Centralia School District		201 Oakview Avenue	46.7431576	Jay Sparks	Educational Service District 113	Public School	6	Oakview Elementary School	34801
Centralia	Washington	21401	98531-3824	-122.9534634	K 	2768	360.300.7641	Centralia School District		800 Field Street	46.7087136	Danielle Vekich	Educational Service District 113	Public School	6	Washington Elementary School	34801
Chehalis	Washington	21302	98532-3809	-122.9631839	PK	2274	360.807.7215	Chehalis School District		89 SW Third Street	46.6592701	Bob Hunt	Educational Service District 113	Public School	1	Cascade Elementary School	34801
Chehalis	Washington	21302	98532-3809	-122.9430983	6	4311	360.807.7230	Chehalis School District		1060 SW 20th Street	46.6433668	Chris Simpson	Educational Service District 113	Public School	8	Chehalis Middle School	34801
Chehalis	Washington	21302	98532-0000	-122.9623502	9	2027	360.740.3520	Chehalis School District		375 SW 11th Street	46.6498258	Tim Touhey	Educational Service District 113	Institution	12	Green Hill Academic School	34801
Chehalis	Washington	21302	98532-3809	-122.9620728	2	2442	360.807.7220	Chehalis School District		233 South Market Blvd	46.6598257	Trisha Smith	Educational Service District 113	Public School	3	R E Bennett Elementary	34801
Lakewood	Washington	27400	98499-1341	-122.4998041	9	1880	253.583.5420	Clover Park School District		5431 Steilacoom Blvd SW	47.1763776	Helen Wilson	Puget Sound Educational Service District 121	Public School	12	Re-Entry High School	17801
Lakewood	Washington	27400	98499-1341	-122.4998041	6	1881	253.583.5390	Clover Park School District		5431 Steilacoom Blvd SW	47.1763776	Helen Wilson	Puget Sound Educational Service District 121	Public School	8	Re-Entry Middle School	17801
Lakewood	Washington	27400	98499-4727	-122.4917905	PK	3118	253.583.5360	Clover Park School District		10202 Earley AVE SW	47.1653763	Charlotte Clouse	Puget Sound Educational Service District 121	Public School	5	Southgate Elementary School	17801
Lakewood	Washington	27400	98499-1341	-122.5199163	PK	1882	(253) 583-5170	Clover Park School District		10903 Gravelly LK DR SW	47.1599139	Debbie LeBeau	Puget Sound Educational Service District 121	Public School	12	Special Education Services/relife	17801
Lakewood	Washington	27400	98499	-122.5019797	5	5297	253.583.5174	Clover Park School District		10903 Gravelly Lake DR SW	47.1616994	Ann Almlie	Puget Sound Educational Service District 121	Public School	12	Transition Day Students	17801
Lakewood	Washington	27400	98499-4939	-122.508329	PK	3249	253.583.5380	Clover Park School District		11920 Seminole RD SW	47.148781	Gail Gillis	Puget Sound Educational Service District 121	Public School	5	Tyee Park Elementary School	17801
Lakewood	Washington	27400	98439-1129	-122.5391076	6	3500	(253) 583-5460	Clover Park School District		14920 Spring ST	47.1212593	Nancy LaChappelle	Puget Sound Educational Service District 121	Public School	8	Woodbrook Middle School	17801
Colfax	Washington	38300	99111-2133	-117.3604606	7	3366	509.397.4368	Colfax School District		1110 N. Morton Street	46.8923881	Buck Marsh	Educational Service District 101	Public School	12	Colfax High School	32801
Colfax	Washington	38300	99111-2133	-117.3604606	K 	2894	509.397.2181	Colfax School District		1207 N. Morton Street	46.8951659	Tom Arlt	Educational Service District 101	Public School	6	Leonard M Jennings Elementary	32801
COLLEGE PLACE	Washington	36250	99324-1771	-118.3887105	7	3541	509.525.5300	College Place School District		1775 SOUTH COLLEGE AVENUE	46.0295226	Linda Byerley	Educational Service District 123	Public School	8	John Sager Middle School	11801
COLLEGE PLACE	Washington	36250	99324-1771	-118.3885288	4	4488	509.522.3265	College Place School District		1775 SOUTH COLLEGE AVENUE	46.029523	William Varady	Educational Service District 123	Public School	6	Meadow Brook Intermediate School	11801
Colton	Washington	38306	99113-0000	-117.1312763	PK	2588	509.229.3386	Colton School District		706 Union	46.5665509	Gordon Steinbis	Educational Service District 101	Public School	12	Colton School	32801
COULEE CITY	Washington	13151	99115-0428	-119.4064076	6	2304	509.632.5231	Coulee-Hartline School District		410 W. Locust St.	47.6383232	Kelley Schafer	North Central Educational Service District 171	Public School	8	Coulee City MS	4801
		15204		-122.686158	PK	3664	360.678.4551	Coupeville School District			48.2120541	David Ebersole	Northwest Educational Service District 189	Public School	5	Coupeville Elementary School	29801
		15204		-122.6846131	9	2625	360.678.4409 ext.223	Coupeville School District			48.2067647	Sheldon Rosenkrance	Northwest Educational Service District 189	Public School	12	Coupeville High School	29801
Coupeville	Washington	15204	98239-3516	-122.6582843	6	4004	360.678.4409	Coupeville School District		501 South Main Street	48.1836882	Sheldon Rosenkrance	Northwest Educational Service District 189	Public School	8	Coupeville Middle School	29801
Coupeville	Washington	15204	98239	-122.6582843	9	5234	360-678-4522	Coupeville School District		2 S Main St	48.1836882	Patrice Page	Northwest Educational Service District 189	Institution	12	ICCF Ed Program	29801
Oak Harbor	Washington	15204	98277-0633	-118.6019021	PK	5034	(360) 679-1039	Coupeville School District		PO Box 633	34.2094101	Toni Kotschwar	Northwest Educational Service District 189	Public School	PK	Toddler Learning Center	29801
YAKIMA	Washington	39090	98901-8082	-120.4051942	6	4055	(509) 573-7520	East Valley School District (Yakima)		2010 BEAUDRY RD	46.5726033	Jeri Young	Educational Service District 105	Public School	8	East Valley Central Middle School	39801
Yakima	Washington	39090	98901-8012	-120.4025816	K 	4487	(509) 573-7620	East Valley School District (Yakima)		1951 Beaudry Road	46.5752704	Stephen Merz	Educational Service District 105	Public School	5	East Valley Elementary	39801
Yakima	Washington	39090	98901-8012	-120.4065313	9	2344	509.573.7420	East Valley School District (Yakima)		1900 Beaudry Road	46.5748527	Dottie Say	Educational Service District 105	Public School	12	East Valley High School	39801
Moxee	Washington	39090	98936-0000	-120.3817408	K 	2530	(509) 573-7720	East Valley School District (Yakima)		PO BOX 69	46.5507152	Monica Masias	Educational Service District 105	Public School	5	Moxee Elementary	39801
Yakima	Washington	39090	98901-0000	-120.4438662	K 	2821	((57) 3) -7820	East Valley School District (Yakima)		4300 Maple Court	46.6073127	Bob Adamson	Educational Service District 105	Public School	5	Terrace Heights Elementary	39801
East Wenatchee	Washington	9206	98802-4999	-120.278053	10	2986	(509) 886-6283	Eastmont School District		260 N. Georgia	47.408529	Pam Arena	North Central Educational Service District 171	Institution	11	Canyon View Group Home	4801
East Wenatchee	Washington	9206	98802-4019	-120.2931272	K 	3659	509.884.0523	Eastmont School District		2330 N. Baker Ave.	47.4437379	Robin Kirkpatrick	North Central Educational Service District 171	Public School	5	Cascade Elementary	4801
Valley	Washington	9206	99181-9749	-117.7757939	K 	5228	509-884-4621	Eastmont School District		3030 Huffman Road	48.1664403	Mat Lyons	North Central Educational Service District 171	Contract School	12	Eastmont Columbia Virtual Academy	4801
East Wenatchee	Washington	9206	98802-4498	-120.2878977	8	3372	509.884.2407	Eastmont School District		905 NE 8th Street	47.4164555	David  Woods	North Central Educational Service District 171	Public School	9	Eastmont Junior High	4801
East Wenatchee	Washington	9206	98802-4999	-120.1593726	10	2727	509.884.6665	Eastmont School District		955 3rd Street NE	47.445215	Mark Marney	North Central Educational Service District 171	Public School	12	Eastmont Senior High	4801
Enumclaw	WA	17216	98022	-79.500885	PK	1523	360.802.7104	Enumclaw School District		2929 McDougall Avenue	40.309984	Aaron Stanton	Puget Sound Educational Service District 121	Public School	12	Special Ed School	17801
Enumclaw	Washington	17216	98022-4045	-122.0317791	K 	4289	(360) 802-7425	Enumclaw School District		899 Osceola At 244th Ave SE	47.1873237	Chris Beals	Puget Sound Educational Service District 121	Public School	5	Sunrise Elementary	17801
Enumclaw	Washington	17216	98022-0000	-121.9873247	6	4550	360.802.7501	Enumclaw School District		42018 264th Avenue SE	47.2231334	Ginger Callison	Puget Sound Educational Service District 121	Public School	8	Thunder Mountain Middle School	17801
Enumclaw	Washington	17216	98022-9099	-122.0581692	PK	3585	(360) 802-7624	Enumclaw School District		21200 SE 416th	47.22899	Keri Marquand	Puget Sound Educational Service District 121	Public School	5	Westwood Elementary School	17801
EPHRATA	Washington	13165	98823-0000	-119.5494823	PK	4229	509.754.3538	Ephrata School District		501 C ST NW	47.3262497	TRAVIS ELOFF	North Central Educational Service District 171	Public School	1	Beezley Springs Elementary	4801
EPHRATA	Washington	13165	98823-0000	-119.539204	K 	2793	509.754.2882	Ephrata School District		60 H SE	47.3170831	ANDREA SPERLINE	North Central Educational Service District 171	Public School	4	Columbia Ridge Elementary	4801
EPHRATA	Washington	13165	98823-0000	-119.5516041	9	2920	509.754.5285	Ephrata School District		333 4TH AVE NW	47.326475	DANIEL MARTELL	North Central Educational Service District 171	Public School	12	Ephrata High School	4801
EPHRATA	Washington	13165	98823-0000	-119.5513049	7	3373	509.754.4659	Ephrata School District		384 "A" SE	47.3143681	JILL PALMQUIST	North Central Educational Service District 171	Public School	8	Ephrata Middle School	4801
EPHRATA	Washington	13165	98823-0000	-119.5608716	5	2695	509.754.9729	Ephrata School District		1011 PARKWAY BLVD	47.3123604	DAWN MILLARD	North Central Educational Service District 171	Public School	6	Parkway School	4801
Ephrata	Washington	13165	98823-0000	-119.537521	8	1971	509.754.7547	Ephrata School District		35 K ST SE	47.317423	CHARLOTTE THROGMORTON	North Central Educational Service District 171	Public School	12	Sage Hills High School	4801
Vancouver	Washington	6114	98664-5149	-122.5620711	K 	3148	360.604.6950	Evergreen School District (Clark)		512 SE Ellsworth Avenue	45.6173769	Jerry Evans	Educational Service District 112	Public School	5	Ellsworth Elementary School	6801
Vancouver	Washington	6114	98682-8091	-122.5326839	7	1801	360.604.4032	Evergreen School District (Clark)		13501 NE 28th Street	45.6414067	Julie Tumelty	Educational Service District 112	Public School	12	iQ Academy Washington	6801
Gifford	Washington	33205	99131-9701	-118.1388774	K 	3197	(509) 722-6384	Evergreen School District (Stevens)		3342 Addy-Gifford Rd	48.3093377	Windy Esvelt	Educational Service District 101	Public School	6	Evergreen School	32801
Federal Way	Washington	17210	98023-3431	-122.3567448	PK	3519	253.945.2333	Federal Way School District		1635 SW 304th ST	47.3290603	Ann Gray	Puget Sound Educational Service District 121	Public School	5	Adelaide Elementary School	17801
Federal Way	Washington	17210	98093-1269	-122.31	PK	5279	253.874.5445	Federal Way School District		PO Box 24269	47.32	Chuck  Nykreim	Puget Sound Educational Service District 121	Public School	PK	Birth to Three Development Center	17801
Federal Way	Washington	17210	98023-2929	-122.3776233	PK	3700	253.945.2400	Federal Way School District		3601 SW 336th ST	47.2998217	Chris  Odell	Puget Sound Educational Service District 121	Public School	5	Brigadoon Elementary School	17801
AUBURN	Washington	17210	98001-1581	-122.2843125	PK	3547	253.945.2500	Federal Way School District		4041 S 298TH	47.3343532	Cindy Dracobly	Puget Sound Educational Service District 121	Public School	5	Camelot Elementary School	17801
Federal Way	Washington	17210	98003	-122.298973	9	5163	253.945.5800	Federal Way School District		31455 28th Ave S	47.318747	Patricia Larson	Puget Sound Educational Service District 121	Public School	12	Career Academy at Truman High School	17801
FEDERAL WAY	Washington	17210	98023-2207	-122.3679658	9	3766	253.945.5200	Federal Way School District		2800 SW 320TH ST	47.3167219	David Brower	Puget Sound Educational Service District 121	Public School	12	Decatur High School	17801
Kent	Washington	17210	98030	-122.197612	PK	5280	253.945.2082	Federal Way School District		10811 SE Kent Kanlgey Rd	47.3666507	Chuck Nykreim	Puget Sound Educational Service District 121	Public School	12	Dynamic Family Services	17801
Federal Way	Washington	17210	98023	-122.313626	9	1950	(253) 945-2084	Federal Way School District		33250 21st Ave SW	47.3290439	Chris Willis	Puget Sound Educational Service District 121	Public School	12	Employment Transition Program	17801
FEDERAL WAY	Washington	17210	98023-2426	-122.388818	PK	3628	253.945.4200	Federal Way School District		4400 SW 320TH ST	47.316533	Marin Miller	Puget Sound Educational Service District 121	Public School	5	Twin Lakes Elementary School	17801
FEDERAL WAY	Washington	17210	98003-4225	-122.301629	PK	3583	253.945.4400	Federal Way School District		2405 S 300TH ST	47.332744	Michael Swartz	Puget Sound Educational Service District 121	Public School	5	Wildwood Elementary School	17801
DES MOINES	Washington	17210	98198-9325	-82.9284298	K 	3328	253.945.4500	Federal Way School District		26454 16TH AV S	42.4389635	Donna Bogle	Puget Sound Educational Service District 121	Public School	8	Woodmont K-8 School	17801
Custer	Washington	37502	98240-0125	-122.6365183	K 	2607	360.383.9500	Ferndale School District		7660 Custer School Road	48.918982	John Fairbairn	Northwest Educational Service District 189	Public School	6	Custer Elem	29801
Ferndale	Washington	37502	98248-0000	-122.6244153	PK	4482	360.383.9700	Ferndale School District		P.O. Box 1127	48.8617932	Kimberly Hawes	Northwest Educational Service District 189	Public School	6	Eagleridge Elementary	29801
Ferndale	Washington	37502	98248-0428	-122.592985	9	2488	360.383.9243	Ferndale School District		P.O. Box 428	48.8516604	Aaron Kombol	Northwest Educational Service District 189	Public School	12	Ferndale High School	29801
Ferndale	Washington	37502	98248	-122.6315533	PK	5084	360.383.9212	Ferndale School District		6041 Vista Dr	48.8741151	Renee McCluskey	Northwest Educational Service District 189	Public School	PK	Ferndale Special Services	29801
Ferndale	Washington	37502	98248-0000	-122.626718	7	4554	360.383.9850	Ferndale School District		P.O. Box 1769	48.8620644	David Hutchinson	Northwest Educational Service District 189	Public School	8	Horizon Middle School	29801
Bellingham	Washington	37502	98226-0000	-122.6544073	9	3135	360.758.3147	Ferndale School District		2334 Lummi View Dr.	48.7286526	Heather Leighton	Northwest Educational Service District 189	Tribal School	12	Lummi High School	29801
Bellingham	Washington	37502	98226-0000	-122.6544073	K 	3140	360.758.3147	Ferndale School District		2334 Lummi View Dr.	48.7286526	Heather Leighton	Northwest Educational Service District 189	Tribal School	8	Lummi Tribal Elementary School	29801
Ferndale	Washington	37502	98248-0935	-122.604675	PK	3364	360.383.9650	Ferndale School District		P.O. Box 935	48.851079	Georgia Dellinger	Northwest Educational Service District 189	Public School	6	Mountain View Elem	29801
Tacoma	Washington	27402	98444-2799	-122.44669	PK	3301	253.535.9887	Franklin Pierce School District		10232 Barnes Lane	47.163656	Tim Enfield	Puget Sound Educational Service District 121	Public School	5	Christensen Elementary	17801
TACOMA	Washington	27402	98444-3899	-122.4159551	6	3401	537.021.1121 ext.1	Franklin Pierce School District		12324 12TH AVE S	47.1450993	JOYCE KNOWLES	Puget Sound Educational Service District 121	Public School	8	Perry G Keithley Middle School	17801
Tacoma	Washington	27402	98444-2398	-122.4557467	9	3648	253.298.3000	Franklin Pierce School District		12420 Ainsworth Ave S	47.1457667	James Hester	Puget Sound Educational Service District 121	Public School	12	Washington High School	17801
Rockford	Washington	32358	99030	-117.2005889	K 	5110	509.291.3695	Freeman School District		15001 S. Jackson Rd	47.4927123	Randy Russell	Educational Service District 101	Public School	12	Freeman CVA School	32801
Rockford	Washington	32358	99030-9755	-117.1946427	PK	3794	509.291.4791	Freeman School District		14917 S Jackson Road	47.5179524	Lisa Phelan	Educational Service District 101	Public School	5	Freeman Elementary School	32801
Rockford	Washington	32358	99030	-117.1944121	6	4593	509.291.7301	Freeman School District		14917 S Jackson Rd	47.5178538	Jim Straw	Educational Service District 101	Public School	8	Freeman Middle School	32801
Palouse	Washington	38302	99161-0000	-117.0710028	9	1962	509.878.1921	Garfield School District		600 E. Alder	46.9126689	Zane Wells	Educational Service District 101	Public School	12	Garfield at Palouse High School	32801
Garfield	Washington	38302	99130-0398	-117.1407366	PK	2895	509.635.1331	Garfield School District		POB 398	47.0135981	Zane Wells	Educational Service District 101	Public School	5	Garfield Elementary	32801
Garfield	Washington	38302	99130-0398	-117.1407366	6	2896	509.635.1331	Garfield School District		POB 398	47.0135981	Zane Wells	Educational Service District 101	Public School	8	Garfield Middle School	32801
Glenwood	Washington	20401	98619-0091	-121.2906856	K 	3047	(509) 364-3438	Glenwood School District		PO Box 12	46.0209185	 Dr. Shane Couch	Educational Service District 112	Public School	6	Glenwood Elementary	6801
Glenwood	Washington	20401	98619-0091	-121.2906856	7	3048	(509) 364-3438	Glenwood School District	P. O. Box 12	320 Bunnell St.	46.0209185	Dr. Shane Couch	Educational Service District 112	Public School	12	Glenwood Secondary	6801
