ESD Code	ESD Name	District-County Code	District name	School Code	School name	Lowest Grade	Highest Grade	AddressLine1	AddressLine2	City	State	ZipCode	Principal Name	phone	School Type
34801	Educational Service District 113	21226	Adna School District	2441	Adna Middle/High School	6	12	P.O. Box 148		Adna	Washington	98522-0148	Jim Forrest	360.748.8552	Public School
32801	Educational Service District 101	22017	Almira School District	2860	Almira Elementary School	K 	8	PO BOX 217		ALMIRA	Washington	99103-0217	Shauna Schmerer	509.639.2414	Public School
29801	Northwest Educational Service District 189	29103	Anacortes School District	2467	Anacortes High School	9	12	1600 20th Street		Anacortes	Washington	98221-2396	Jon Ronngren	360.293.2166	Public School
29801	Northwest Educational Service District 189	29103	Anacortes School District	2707	Anacortes Middle School	7	8	2202 M Avenue		Anacortes	Washington	98221-3799	Patrick Harrington	360.293.9545	Public School
29801	Northwest Educational Service District 189	29103	Anacortes School District	5176	Cap Sante High School	9	12	1600 20th Street		Anacortes	Washington	98221	Jon Ronngren	360.293.2166 x706	Public School
29801	Northwest Educational Service District 189	29103	Anacortes School District	3182	Fidalgo Elementary	K 	6	13590 Gibralter Road		Anacortes	Washington	98221-9699	Tara Dowd	360.293.9545	Public School
29801	Northwest Educational Service District 189	29103	Anacortes School District	3252	Island View Elementary	K 	6	2501 J Avenue		Anacortes	Washington	98221-2799	Brian Hanrahan	360.293.3149	Public School
29801	Northwest Educational Service District 189	29103	Anacortes School District	3057	Mount Erie Elementary	K 	6	1313 41st Street		Anacortes	Washington	98221-3599	Peter Donaldson	360.293.9541	Public School
29801	Northwest Educational Service District 189	29103	Anacortes School District	3404	Whitney Elementary	PK	K 	1200 M Avenue		Anacortes	Washington	98221-0000	Kevin Schwartz	360.293.9536	Public School
29801	Northwest Educational Service District 189	31016	Arlington School District	2523	Arlington High School	9	12	18821 Crown Ridge Blvd		Arlington	Washington	98223-4015	Brian Beckley	360.618.6300	Public School
29801	Northwest Educational Service District 189	31016	Arlington School District	2277	Arlington Special Educ School	PK	12	315 N French Ave		Arlington		98223	Diane Kirchner-Scott	360.618.6200	Public School
29801	Northwest Educational Service District 189	31016	Arlington School District	4327	Eagle Creek Elementary	K 	5	1216 E 5th		Arlington	Washington	98223-1119	Kary Henderson-Burke	360.618.6270	Public School
29801	Northwest Educational Service District 189	31016	Arlington School District	5010	Haller Middle School	6	8	600 E. First		Arlington	Washington	98223	Eric DeJong	360.618.6400	Public School
29801	Northwest Educational Service District 189	31016	Arlington School District	4436	Kent Prairie Elementary	K 	5	8110 207th St NE		Arlington	Washington	98223-5933	Kathleen Engell	360.618.6260	Public School
29801	Northwest Educational Service District 189	31016	Arlington School District	4573	Pioneer Elementary	K 	5	8213 Eaglefield Dr		Arlington	Washington	98223-4660	Karl Olson	360.618.6230	Public School
29801	Northwest Educational Service District 189	31016	Arlington School District	3124	Post Middle School	6	8	1220 E. 5th St		Arlington	Washington	98223-1119	Yvonne Walker	360.618.6450	Public School
29801	Northwest Educational Service District 189	31016	Arlington School District	4154	Presidents Elementary	PK	5	505 East Third		Arlington	Washington	98223-0000	David McKeller	360.618.6240	Public School
29801	Northwest Educational Service District 189	31016	Arlington School District	1714	Stillaguamish School	K 	12	1215 E 5th		Arlington	Washington	98223-1118	Amie Verellen-Grubbs	360.618.6440	Public School
29801	Northwest Educational Service District 189	31016	Arlington School District	4287	Weston High School	9	12	4407 172nd Street NE		Arlington	Washington	98223	Amie Verellen-Grubbs	360.618.6340	Public School
11801	Educational Service District 123	2420	Asotin-Anatone School District	2507	Asotin Elementary	PK	6	PO Box 489		ASOTIN	Washington	99402-0000	Wes Nicholas	(509) 243-4147	Public School
11801	Educational Service District 123	2420	Asotin-Anatone School District	2434	Asotin Jr Sr High	7	12	PO BOX 489		ASOTIN	Washington	99402-0000	DALE BONFIELD	(509) 243-4151	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	3825	Alpac Elementary School	PK	5	310 MILWAUKEE BLVD N		PACIFIC	Washington	98047-1122	DIANE COLLIER	(253) 931-4976	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	5082	Arthur Jacobsen Elementary	K 	5	29205 132nd Ave SE		Auburn	Washington	98092	Eric Daniel	253.931.4866	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	5037	Auburn Mountainview High School	9	12	28900 124th AVE SE		Auburn	Washington	98092	Terri Herren	253.804.4539	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	4474	Auburn Riverside High School	9	12	501 ORAVETZ RD SE		AUBURN	Washington	98092-8621	DAVID HALFORD	253.804.5154	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	2795	Auburn Senior High School	9	12	800 4TH ST NE		AUBURN	Washington	98002-5018	Richard Zimmerman	253.931.4880	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	2394	Cascade Middle School	6	8	1015 24TH ST NE		AUBURN	Washington	98002-2430	Isaiah Johnson	253.931.4995	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	3439	Chinook Elementary School	PK	5	3502 AUBURN WAY S		AUBURN	Washington	98092-7221	Jennifer Davidson	253.931.4980	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	2932	Dick Scobee Elementary School	PK	5	1031 14TH ST NE		AUBURN	Washington	98002-3314	Adam Couch	253.931.4984	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	3745	Evergreen Heights Elementary	PK	5	5602 S 316TH ST		AUBURN	Washington	98001-3822	Anne  Gayman	253.931.4974	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	3669	Gildo Rey Elementary School	PK	5	1005 37TH ST SE		AUBURN	Washington	98002-8710	Colleen Barlow	253.931.4952	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	4347	Hazelwood Elementary School	PK	5	11815 SE 304TH ST		AUBURN	Washington	98092-3115	Sally Colburn	253.931.4740	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	4417	Ilalko Elementary School	PK	5	301 ORAVETZ PL SE		AUBURN	Washington	98092-8601	Timothy Carstens	253.931.4748	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	4120	Lake View Elementary School	PK	5	16401 SE 318TH ST		AUBURN	Washington	98092-9285	Michael Weibel	253.931.4830	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	5051	Lakeland Hills Elementary	K 	5	1020 Evergreen Way SE		AUBURN	Washington	98092	RYAN FOSTER	253.876.7711	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	3525	Lea Hill Elementary School	PK	5	30908 124TH AVE SE		AUBURN	Washington	98092-3154	EDWARD HERDA	253.931.4982	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	4462	Mt Baker Middle School	6	8	620 37TH ST SE		AUBURN	Washington	98002-8011	Greg Brown	253.804.4555	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	3169	Olympic Middle School	6	8	1825 K ST SE		AUBURN	Washington	98002-6914	Jason Hill	253.931.4966	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	3227	Pioneer Elementary School	PK	5	2301 M ST SE		AUBURN	Washington	98002-7627	DEBRA GARY	253.931.4986	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	4385	Rainier Middle School	6	8	30620 116TH AVE SE		AUBURN	Washington	98092-3161	Benjamin Talbert	253.931.4855	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	1915	Special Ed School	PK	12	502 4TH ST NE		AUBURN	Washington	98002-5020	Rhonda Larson	253.931.4927	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	2659	Terminal Park Elementary School	K 	5	1101 D ST SE		AUBURN	Washington	98002-6013	Thomas Dudley	253.931.4978	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	2326	Washington Elementary School	PK	5	20 E ST NE		AUBURN	Washington	98002-5501	PAULINE THOMAS	253.931.4988	Public School
17801	Puget Sound Educational Service District 121	17408	Auburn School District	2702	West Auburn Senior High School	9	12	401 W MAIN ST		AUBURN	Washington	98001-5275	Leonard Holloman	253.931.4990	Public School
17801	Puget Sound Educational Service District 121	18303	Bainbridge Island School District	2395	Bainbridge High School	9	12	9330 NE High School Rd		Bainbridge Island	Washington	98110-3695	Brent Peterson	206.780.1250	Public School
17801	Puget Sound Educational Service District 121	18303	Bainbridge Island School District	1939	Bainbridge Special Education Services	PK	12	8489 Madison Ave NE		Bainbridge Island	Washington	98110-2999	Betsy Minor-Reid	206.780.1234	Public School
17801	Puget Sound Educational Service District 121	18303	Bainbridge Island School District	3552	Capt Johnston Blakely Elem Sch	K 	4	4704 Blakely Ave NE		Bainbridge Island	Washington	98110-2259	Reese Ande	206.780.2060	Public School
17801	Puget Sound Educational Service District 121	18303	Bainbridge Island School District	3043	Capt. Charles Wilkes Elem School	PK	4	12781 Madison Ave NE		Bainbridge Island	Washington	98110-1385	Sheryl Belt	206.780.3020	Public School
17801	Puget Sound Educational Service District 121	18303	Bainbridge Island School District	1935	Eagle Harbor High School	9	12	9530 NE High School Rd		Bainbridge Island	Washington	98110-0000	Catherine Camp	(206) 780-1387	Public School
17801	Puget Sound Educational Service District 121	18303	Bainbridge Island School District	1841	Mosaic Home Education Partnership	K 	8	9530 NE High School Rd		Bainbridge Island	Washington	98110-0000	Catherine Camp	(206)780-1387	Public School
17801	Puget Sound Educational Service District 121	18303	Bainbridge Island School District	1699	Odyssey Multiage Program	1	8	9530 NE High School Rd		Bainbridge Island	Washington	98110-0000	Catherine Camp	(206)780-1387	Public School
17801	Puget Sound Educational Service District 121	18303	Bainbridge Island School District	1699	Odyssey Multiage Program	1	8	9530 NE High School Rd		Bainbridge Island	Washington	98110-0000	David Shockley	206.780.1387	Public School
17801	Puget Sound Educational Service District 121	18303	Bainbridge Island School District	4062	Ordway Elementary	PK	4	8555 Madison Ave NE		Bainbridge Island	Washington	98110-2915	Melinda Reynvaan	206.780.1470	Public School
17801	Puget Sound Educational Service District 121	18303	Bainbridge Island School District	4542	Sakai Intermediate	5	6	9343 NE Sportsman Club Rd		Bainbridge Island	Washington	98110-3642	James Corsetti	206.780.6501	Public School
17801	Puget Sound Educational Service District 121	18303	Bainbridge Island School District	4505	Woodward Middle School	7	8	9100 NE Sportsman Club Rd		Bainbridge Island	Washington	98110-3640	Kenneth Florian	206.780.4500	Public School
6801	Educational Service District 112	6119	Battle Ground School District	2671	Amboy Middle School	5	8	PO Box 200		Battle Ground	Washington	98604-0200	SHAYLA EBNER	360.885.6050	Public School
6801	Educational Service District 112	6119	Battle Ground School District	2415	Battle Ground High School	9	12	PO Box 200		BATTLE GROUND	Washington	98604-0200	TIM LEXOW	360.885.6550	Public School
6801	Educational Service District 112	6119	Battle Ground School District	1836	CAM Academy	3	12	PO Box 200		BATTLE GROUND	Washington	98604-0200	COLLEEN O'NEAL	360.885.6801	Public School
6801	Educational Service District 112	6119	Battle Ground School District	4352	Captain Strong	K 	4	PO Box 200		BATTLE GROUND	Washington	98604-0200	Cindy Arnold	360.885.6400	Public School
6801	Educational Service District 112	6119	Battle Ground School District	5133	Chief Umtuch Middle	5	8	PO BOX 200		Battle Ground	Washington	98604	Linda Allen	360.885.6350	Public School
6801	Educational Service District 112	6119	Battle Ground School District	5089	Daybreak Middle	5	8	PO Box 200		Battle Ground	Washington	98604	Shelly Whitten	360.885.6900	Public School
6801	Educational Service District 112	6119	Battle Ground School District	5090	Daybreak Primary	PK	4	PO Box 200		Battle Ground	Washington	98604	Jill Dutchess	360.885.6950	Public School
6801	Educational Service District 112	6119	Battle Ground School District	3018	Glenwood Heights Primary	K 	4	9716 NE 134th St		Vancouver	Washington	98662-0000	David Kennedy	360.885.5250	Public School
6801	Educational Service District 112	6119	Battle Ground School District	1875	Homelink River	K 	12	PO Box 200		Battle Ground	Washington	98604-0200	MARK CLEMENTS	(360) 834-000 	Public School
6801	Educational Service District 112	6119	Battle Ground School District	3545	Laurin Middle School	5	8	13601 NE 97TH AVE		VANCOUVER	Washington	98662-0000	JoDee McMillan	360.885.5200	Public School
6801	Educational Service District 112	6119	Battle Ground School District	5291	Maple Grove K-8	K 	8	PO Box 200	400 N Parkway	Battle Ground	Washington	98604	Bruce Kelley	360-885-6701	Public School
6801	Educational Service District 112	6119	Battle Ground School District	3997	Pleasant Valley Middle	5	8	14320 NE 50TH AVE		VANCOUVER	Washington	98686-0000	WARD HOLCOMB	360.885.5500	Public School
6801	Educational Service District 112	6119	Battle Ground School District	3996	Pleasant Valley Primary	K 	4	PO Box 200		Battle Ground	Washington	98604-0200	Melissa Mitchell	360.885.5550	Public School
6801	Educational Service District 112	6119	Battle Ground School District	4104	Prairie High School	9	12	PO Box 200		Battle Ground	Washington	98604-0200	Jason Perrins	360.885.5000	Public School
6801	Educational Service District 112	6119	Battle Ground School District	4108	Preschool Infant Other	PK	12	PO Box 200		Battle Ground	Washington	98604-0200	Denny Waters	360.885.5318	Public School
6801	Educational Service District 112	6119	Battle Ground School District	4450	Summit View High School	9	12	PO Box 200		Battle Ground	Washington	98604-0200	Bill Penrose	360.885.5331	Public School
6801	Educational Service District 112	6119	Battle Ground School District	5131	Tukes Valley Middle School	5	8	PO Box 200		Battle Ground 	Washington	98604	Diana Harris	360.885.6250	Public School
6801	Educational Service District 112	6119	Battle Ground School District	5132	Tukes Valley Primary 	PK	4	PO Box 200		Battle Ground	Washington	98642	Laurie Sundby	360.885.6200	Public School
6801	Educational Service District 112	6119	Battle Ground School District	2910	Yacolt Primary	K 	4	406 W YACOLT RD		YACOLT	Washington	98675-0000	Ken Evans	360.885.6000	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3633	Ardmore Elementary School	K 	5	16616 NE 32nd St.		Bellevue	Washington	98008-2006	Heather Sanchez	425.456.4700	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	5240	Bellevue Big Picture School	6	12	14844 SE 22nd Street		Bellevue	Washington	98007	Bethany Spinler	425-456-7800	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	2701	Bellevue High School	9	12	10416 Wolverine Way		Bellevue	Washington	98004-6600	Scott Powers	425.456.7000	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3705	Bennett Elementary School	K 	5	17900 NE 16th Street		Bellevue	Washington	98008-3242	Nicole Hepworth	425.456.4800	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	1832	Bsd Voc Ed/Career Educ Options	9	12	12111 NE 1st Street		Bellevue	Washington	98005-3181	ESTELLE COLLINS	425.456.4226	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	5281	Central Educational Services	PK	13	P.O. Box 90010		Bellevue	Washington	98009-9010	Glenn Hasslinger	425.456.4200	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3742	Cherry Crest Elementary School	K 	5	12400 N.E. 32nd St.		Bellevue	Washington	98005	Paula McPhee	425.456.4900	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3338	Chinook Middle School	6	8	11650 S.E. 60th		Bellevue	Washington	98006	Vic  Anderson	425.456.6300	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	2847	Clyde Hill Elementary	K 	5	9601 NE 24th Street		Bellevue	Washington	98004-2100	Christy Lindquist	425.456.5000	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3036	Eastgate Elementary School	K 	5	4255 153rd Avenue SE		Bellevue	Washington	98006-1739	Gail McDonald	425.456.5100	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	2846	Enatai Elementary School	K 	5	10615 SE 23rd Street		Bellevue	Washington	98004-7200	AUDREY TOWNSEND	425.456.5200	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3166	Highland Middle School	6	8	15027 NE Bel-Red Road		Bellevue	Washington	98007-4211	Anissa Bereano	425.456.6400	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3588	Interlake Senior High School	9	12	16245 NE 24th Street		Bellevue	Washington	98008-2492	Maria Frieboes-Gee	425.456.7200	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3522	International School	6	12	445 128th Ave SE		Bellevue		98005	JENNIFER ROSE	425.456.6500	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3225	Lake Hills Elementary	K 	5	14310 SE 12th Street		Bellevue	Washington	98007-5596	HEATHER EDLUND	425.456.5300	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3436	Medina Elementary School	K 	5	8001 NE 8TH ST.		MEDINA	Washington	98039-4710	Beth Hamilton	425.456.5400	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3437	Newport Heights Elementary	K 	5	5225 119th Ave SE		Bellevue	Washington	98006-3301	AMY MACDONALD	425.456.5500	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3486	Newport Senior High School	9	12	4333 Factoria Boulevard SE		Bellevue	Washington	98006-1999	HEIDI FEDORE	425.456.7400	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3631	Odle Middle School	6	8	14401 NE 8th Street		Bellevue	Washington	98007-4125	Eric McDowell	425.456.6600	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3168	Phantom Lake Elementary	PK	5	1050  160th Avenue SE		Bellevue	Washington	98008-5099	ERIN  KING	425.456.5600	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3224	Puesta del Sol Elementary School	K 	5	3810  132nd Avenue SE		Bellevue	Washington	98006-1310	Adrienne Nestor	425.456.6100	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3282	Sammamish Senior High	9	12	100  140th Avenue SE		Bellevue	Washington	98005-3721	Tom Duenwald	425.456.7600	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3339	Sherwood Forest Elementary	K 	5	16411 NE 24th Street		Bellevue	Washington	98008-2491	ALLISON DENO	425.456.5700	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3789	Somerset Elementary School	K 	5	14100 Somerset Boulevard SE		Bellevue	Washington	98006-2399	Brian Teppner	425.456.5800	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3634	Spiritridge Elementary School	K 	5	16401 SE 24th Street		Bellevue	Washington	98008-5499	Alexa Allman	425.456.5900	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3100	Stevenson Elementary	K 	5	14220 NE 8th Street		Bellevue	Washington	98007-4103	Jacqueline Estephan	425.456.6000	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3435	Tillicum Middle School	6	8	16020 SE 16th Street		Bellevue	Washington	98008-5098	Dion Yahoudy	425.456.6700	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3283	Tyee Middle School	6	8	13630 S.E. Allen Road		Bellevue	Washington	98006	Aaron Miller	425.456.6800	Public School
17801	Puget Sound Educational Service District 121	17405	Bellevue School District	3167	Woodridge Elementary	K 	5	12619 SE 20th Place		Bellevue	Washington	98005-4646	Liz Ritz	(425) 456-6200	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	3200	Alderwood Elementary School	PK	5	3400 Hollywood Ave		Bellingham	Washington	98225-1198	Stephanie Korn	360.676.6404	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	2553	Bellingham High School	9	12	2020 Cornwall Ave		Bellingham	Washington	98225-3648	Jeff Vaughn	360.676.6575	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	2817	Carl Cozier Elementary School	PK	5	1330 Lincoln St		Bellingham	Washington	98229-6238	Eric Paige	360.676.6410	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	2365	Columbia Elementary School	PK	5	2508 Utter St		Bellingham	Washington	98225-2799	Thomas Gresham	360.676.6413	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	5239	Cordata Elementary School	PK	5	4420 Aldrich Rd		Bellingham	Washington	98226-9680	Micah Smith	360.676.6466 ext.5500	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	2066	Fairhaven Middle School	6	8	110 Park Ridge Rd		Bellingham	Washington	98225-7999	Michelle Kuss-Cybula	360.676.6450	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	2262	Geneva Elementary School	PK	5	1401 Geneva St		Bellingham	Washington	98229-5218	Matthew Whitten	360.676.6416	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	3134	Happy Valley Elementary School	PK	5	1041 24th St		Bellingham	Washington	98225-8699	Karen Tolliver	360.676.6420	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	1694	Home Port Learning Center	9	12	1306 Dupont St		Bellingham	Washington	98225-3118	Kennett Robinson	(360) 676-2627	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	4442	Kulshan Middle School	6	8	1250 Kenoyer Dr		Bellingham	Washington	98229-2346	Jeannie Hayden	360.676.4886	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	2261	Larrabee Elementary School	PK	5	1409 18th St		Bellingham	Washington	98225-7299	Katherine Baehr	360.676.6424	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	2225	Lowell Elementary School	PK	5	935 14th St		Bellingham	Washington	98225-6398	Melissa Ferguson	360.676.6430	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	4571	Northern Heights Elementary Schl	PK	5	4000 Magrath Rd		Bellingham	Washington	98226-1729	Wendy Barrett	360.647.6820	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	1647	Options High School	9	12	2015 Franklin St		Bellingham	Washington	98225-4220	Gabrielle Morganti	360.647.6871	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	3202	Parkview Elementary School	PK	5	3033 Coolidge Dr		Bellingham	Washington	98225-1803	Jane Tromburg	360.676.6433	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	2067	Roosevelt Elementary School	PK	5	2900 Yew St		Bellingham	Washington	98226-6127	Steven Morse	360.676.6440	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	3576	Sehome High School	9	12	2700 Bill McDonald Pkwy		Bellingham	Washington	98225-5909	Phyllis Textor	360.676.6481	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	3201	Shuksan Middle School	6	8	2717 Alderwood Ave		Bellingham	Washington	98225-1298	Jay Jordan	360.676.6454	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	2175	Silver Beach Elementary School	PK	5	4101 Academy St		Bellingham	Washington	98226-4498	Nicole Talley	360.676.6443	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	4515	Squalicum High School	9	12	3773 E McLeod Rd		Bellingham	Washington	98226-7728	Keith Schacht	360.676.6471	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	2387	Sunnyland Elementary School	PK	5	2800 James St		Bellingham	Washington	98226-2698	Mary Anne Stuckart	360.676.6446	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	1799	Visions (Seamar Youth Center)	6	12	1306 Dupont St		Bellingham	Washington	98225-3118	Kennett Robinson	(360) 676-2787	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	5125	Wade King Elementary School	PK	5	2155 Yew Street Rd		Bellingham	Washington	98229-8812	Analisa Ficklin	360.647.6840	Public School
29801	Northwest Educational Service District 189	37501	Bellingham School District	2075	Whatcom Middle School	6	8	810 Halleck St		Bellingham	Washington	98225-3243	Jeffrey Coulter	360.676.6460	Public School
32801	Educational Service District 101	1122	Benge School District	3142	Benge Elementary	K 	6	2978 E. Benge-Winona Rd.		Benge	Washington	99105-0697	Mary Ault	(509) 887-2370	Public School
17801	Puget Sound Educational Service District 121	27403	Bethel School District	5216	Bethel Elementary Learning Academy	K 	6	516 176th St E		Spanaway	Washington	98387	Roger Samples	253 683 6000	Public School
17801	Puget Sound Educational Service District 121	27403	Bethel School District	2807	Bethel High School	10	12	22215 38th Ave E		Spanaway	Washington	98387	Clifford Anderson	253.683.7000	Public School
17801	Puget Sound Educational Service District 121	27403	Bethel School District	3250	Bethel Middle School	7	8	22201 38th Avenue East		Spanaway	Washington	98387-6827	Jeff Gutfield	253.683.7200	Public School
17801	Puget Sound Educational Service District 121	27403	Bethel School District	5174	Bethel Online Academy	7	12	516 176th St E		Spanaway	Washington	98387	Michael Christianson	253.683.6092	Public School
17801	Puget Sound Educational Service District 121	27403	Bethel School District	5288	Birth to Three	PK	PK	516 176th St E		Spanaway	Washington	98387	Sally Keeley	253.683.6923	Public School
17801	Puget Sound Educational Service District 121	27403	Bethel School District	4296	Camas Prairie Elementary	K 	6	320  176th St E		Spanaway	Washington	98387-8322	Sean  McKenzie	(253) 683-7400	Public School
17801	Puget Sound Educational Service District 121	27403	Bethel School District	4186	Cedarcrest Middle School	7	8	19120 13th Ave Ct E		Spanaway	Washington	98387-7924	Cheryl Barnett	(253) 683-7500	Public School
17801	Puget Sound Educational Service District 121	27403	Bethel School District	4331	Centennial Elementary	K 	6	24323 54th Ave E		Graham	Washington	98338-9549	Tami Wright	(253) 683-7700	Public School
17801	Puget Sound Educational Service District 121	27403	Bethel School District	1510	Challenger Secondary School	5	12	18020 B St E		Spanaway	Washington	98387-8321	David LaBounty	253.683.6800	Public School
17801	Puget Sound Educational Service District 121	27403	Bethel School District	3649	Chester H Thompson Elementary	K 	6	303 159th St E		Tacoma	Washington	98445-1199			Public School
17801	Puget Sound Educational Service District 121	27403	Bethel School District	2576	Clover Creek Elementary	K 	6	16715 36th Avenue East		Tacoma	Washington	98446-1399			Public School
17801	Puget Sound Educational Service District 121	27403	Bethel School District	4578	Cougar Mountain Middle School	7	8	5108 260th St E		Graham	Washington	98338-0000	Sara Stewart	253.683.8000	Public School
